Tarih,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01,-1,10,4,1
02.01,-1,10,11,3
03.01,16,21,9,2
04.01,14,9,4,3
05.01,16,15,6,3
06.01,10,14,5,7
07.01,-1,21,-1,5
08.01,12,-1,8,2
09.01,-1,14,6,4
10.01,15,18,10,4
11.01,19,23,3,1
12.01,12,10,-1,2
13.01,14,22,7,4
14.01,20,15,-1,7
15.01,24,20,10,3
16.01,-1,17,7,9
17.01,14,20,-1,0
18.01,-1,15,-1,3
19.01,18,22,-1,1
20.01,12,19,6,1
21.01,24,14,2,3
22.01,21,25,12,4
23.01,12,16,7,2
24.01,19,11,10,5
25.01,15,21,19,2
26.01,-1,21,14,4
27.01,-1,15,12,6
28.01,-1,18,14,2
29.01,16,23,13,1
30.01,19,-1,-1,2
31.01,18,13,19,5
01.02,23,19,-1,3
02.02,17,17,14,6
03.02,14,12,11,4
04.02,22,26,19,3
05.02,12,21,11,1
06.02,12,-1,20,1
07.02,11,12,-1,4
08.02,19,14,11,5
09.02,18,-1,-1,-1
10.02,21,-1,14,4
11.02,16,13,18,6
12.02,15,14,12,4
13.02,14,17,14,3
14.02,18,15,12,7
15.02,12,19,10,-1
16.02,-1,17,12,4
17.02,26,-1,15,-1
18.02,11,22,9,4
19.02,10,29,8,5
20.02,15,14,-1,6
21.02,-1,12,19,13
22.02,14,20,12,1
23.02,16,9,16,4
24.02,-1,14,8,6
25.02,11,16,13,8
26.02,10,-1,16,3
27.02,17,22,18,7
28.02,12,19,12,4
01.03,21,-1,-1,4
01.03,21,22,-1,4
02.03,13,13,14,11
03.03,-1,12,15,6
04.03,15,8,14,6
05.03,-1,-1,11,3
06.03,20,-1,-1,3
07.03,16,16,13,5
08.03,16,17,11,5
09.03,20,11,14,6
10.03,16,9,10,7
11.03,24,15,21,4
12.03,13,16,18,2
13.03,21,13,14,6
14.03,11,21,-1,3
15.03,16,16,17,4
16.03,20,17,18,6
17.03,9,15,20,7
18.03,12,15,10,6
19.03,20,12,-1,7
20.03,19,15,14,4
21.03,9,13,11,6
22.03,12,14,11,4
23.03,18,13,15,3
