Tarih,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018, VefatSayisi2017
01.01,25,37,22
02.01,41,35,29
03.01,37,31,26
04.01,25,27,27
05.01,33,30,36
06.01,31,29,25
07.01,25,28,21
08.01,35,29,19
09.01,26,32,24
10.01,39,37,26
11.01,43,39,31
12.01,30,20,24
13.01,33,24,19
14.01,47,28,33
15.01,34,35,24
16.01,38,34,30
17.01,38,35,21
18.01,22,44,26
19.01,33,39,24
20.01,34,34,26
21.01,34,31,21
22.01,43,47,29
23.01,32,39,39
24.01,30,33,28
25.01,33,46,22
26.01,32,29,22
27.01,25,30,22
28.01,40,34,25
29.01,42,37,25
30.01,30,33,24
31.01,35,31,21
01.02,26,27,24
02.02,22,28,17
03.02,25,31,21
04.02,25,43,22
05.02,44,41,26
06.02,32,27,35
07.02,35,27,31
08.02,30,29,24
09.02,27,32,31
10.02,35,27,28
11.02,26,32,29
12.02,24,27,24
13.02,20,28,24
14.02,30,29,28
15.02,30,30,25
16.02,23,21,33
17.02,27,26,30
18.02,26,19,18
19.02,25,22,23
20.02,31,23,32
21.02,27,28,33,20
22.02,21,25,19,9
23.02,34,29,28,28
24.02,20,26,18,14
25.02,34,21,16,11
26.02,28,35,29,13
27.02,24,38,24,22
28.02,38,26,22,10
01.03,22,27,32,26
02.03,29,22,26,25
03.03,31,31,19,20
04.03,33,21,24,12
05.03,24,32,29,14
06.03,18,34,23,36
07.03,26,28,35,26
08.03,20,38,28,30
09.03,28,30,29,21
10.03,21,25,23,22
11.03,35,17,20,6
12.03,24,33,21,7
13.03,35,34,27,32
14.03,35,32,28,17
15.03,26,32,30,24
16.03,16,32,25,22
17.03,27,20,29,15
18.03,27,27,16,12
19.03,21,19,27,10
20.03,26,20,26,22
21.03,27,25,21,31
22.03,26,29,25,21
23.03,25,26,16,25
24.03,28,29,26,30
25.03,30,18,20,12
26.03,19,29,23,12
27.03,21,22,32,29
28.03,22,28,19,26
29.03,25,25,27,18
30.03,33,28,29,27
31.03,21,18,30,23
01.04,39,23,22,11
02.04,27,25,29,9
03.04,21,30,30,11
04.04,21,35,35,29
05.04,24,26,23,30
06.04,31,24,28,19
07.04,34,19,20,22
08.04,37,22,20,11
09.04,23,27,22,11
10.04,24,28,23,26
11.04,22,22,26,21
12.04,21,24,19,18
13.04,42,17,24,28
14.04,27,20,23,25
15.04,36,22,17,14
16.04,36,26,19,10
17.04,32,29,18,26
18.04,27,29,24,14
19.04,28,23,23,27
20.04,43,19,23,31
21.04,33,12,23,19
22.04,39,22,21,13
23.04,24,21,20,15
24.04,23,26,17,24
25.04,30,21,28,29
26.04,25,20,19,27
27.04,49,27,21,20
28.04,27,28,20,36
29.04,34,33,16,12
30.04,26,14,21,15
01.05,27,23,24,23
02.05,18,24,12,19
03.05,19,26,19,18
04.05,30,21,18,25
05.05,20,17,23,22
06.05,32,16,24,13
07.05,24,24,21,10
08.05,27,22,21,24
09.05,27,27,25,27
10.05,27,23,25,28
11.05,29,13,28,22
12.05,29,15,22,16
13.05,22,30,23,12
14.05,33,21,18,29
15.05,22,20,28,24
16.05,18,26,23,27
17.05,16,17,20,34
18.05,16,24,28,28
19.05,20,27,25,17
20.05,28,20,23,15
21.05,26,20,28,16
22.05,21,16,33,26
23.05,15,25,27,20
24.05,20,21,20,24
25.05,17,34,22,28
26.05,15,30,27,24
27.05,19,26,21,27
28.05,32,21,23,26
29.05,20,26,30,25
30.05,22,25,17,15
31.05,16,21,20,17
01.06,21,28,18,21
02.06,17,16,23,31
03.06,22,21,19,18
04.06,24,18,19,11
05.06,21,26,23,23
06.06,18,17,19,24
07.06,14,23,26,21
08.06,29,22,20,18
09.06,18,23,30,29
10.06,29,23,30,11
11.06,29,24,25,14
12.06,19,23,20,32
13.06,24,27,17,17
14.06,26,26,25,19
15.06,24,21,15,22
16.06,16,24,27,13
17.06,28,16,29,11
18.06,17,19,23,17
19.06,21,27,18,20
20.06,25,21,29,29
21.06,19,26,16,24
22.06,30,23,13,19
23.06,23,16,25,23
24.06,23,29,19,11
25.06,22,30,24,14
26.06,36,25,16,19
27.06,23,29,25,20
28.06,18,23,18,18
29.06,21,20,30,32
30.06,28,13,20,16
01.07,19,19,21,12
02.07,25,27,22,14
03.07,37,33,28,45
04.07,18,28,24,24
05.07,23,23,26,18
06.07,26,18,21,22
07.07,30,24,28,23
08.07,37,26,18,22
09.07,32,23,38,27
10.07,28,17,23,24
11.07,14,20,25,29
12.07,28,28,25,32
13.07,16,24,26,24
14.07,26,13,20,30
15.07,23,15,19,29
16.07,19,15,19,21
17.07,20,19,25,36
18.07,17,18,21,24
19.07,23,19,15,26
20.07,18,27,22,24
21.07,23,27,22,29
22.07,18,23,20,15
23.07,33,26,21,20
24.07,17,16,23,23
25.07,19,21,21,24
26.07,20,29,20,20
27.07,19,20,24,24
28.07,17,18,17,12
29.07,18,31,19,13
30.07,26,23,14,20
31.07,15,20,31,32
01.08,29,24,22,26
02.08,23,24,29,15
03.08,18,18,22,27
04.08,22,18,22,28
05.08,21,31,18,20
06.08,22,35,29,18
07.08,20,15,25,28
08.08,21,18,22,27
09.08,26,27,12,24
10.08,21,29,16,29
11.08,24,23,30,25
12.08,23,21,25,13
13.08,22,16,22,18
14.08,22,33,24,19
15.08,25,15,18,16
16.08,16,20,22,32
17.08,22,16,18,20
18.08,26,19,16,15
19.08,28,31,19,29
20.08,17,25,26,19
21.08,24,19,18,28
22.08,22,27,12,27
23.08,15,24,22,27
24.08,9,19,17,15
25.08,23,21,17,28
26.08,17,28,20,22
27.08,17,32,28,25
28.08,18,23,17,23
29.08,23,20,18,22
30.08,21,28,22,21
31.08,27,26,18,25
01.09,23,21,26,11
02.09,22,31,19,22
03.09,10,29,19,15
04.09,18,33,15,14
05.09,20,24,29,21
06.09,25,33,18,28
07.09,24,23,22,18
08.09,27,29,18,17
09.09,31,27,17,15
10.09,25,22,16,21
11.09,19,22,21,21
12.09,12,18,31,25
13.09,24,19,30,30
14.09,16,16,21,19
15.09,15,18,23,27
16.09,28,30,19,12
17.09,30,24,21,20
18.09,25,20,21,17
19.09,19,22,32,28
20.09,21,24,23,22
21.09,20,16,16,22
22.09,15,33,23,41
23.09,33,24,22,14
24.09,25,30,24,8
25.09,17,24,32,28
26.09,23,18,29,34
27.09,22,18,18,31
28.09,26,29,24,30
29.09,22,36,23,16
30.09,25,31,19,18
01.10,21,29,21,18
02.10,29,23,22,18
03.10,19,28,25,25
04.10,30,25,27,22
05.10,21,27,26,25
06.10,25,22,24,26
07.10,30,25,36,21
08.10,26,35,31,20
09.10,15,20,21,21
