Tarih,VefatSayisi2020,VefatSayisi2019,VefatSayisi2018,VefatSayisi2017
01.01,25,25,14,15
02.01,21,21,10,23
03.01,17,26,13,12
04.01,23,12,12,10
05.01,18,24,14,11
06.01,16,17,17,13
07.01,21,21,14,8
08.01,29,26,13,17
09.01,30,21,14,17
10.01,26,18,12,10
11.01,21,22,11,22
12.01,25,18,17,22
13.01,22,24,15,14
14.01,28,26,15,14
15.01,27,22,9,15
16.01,35,24,14,15
17.01,23,21,21,13
18.01,23,22,15,14
19.01,20,18,8,6
20.01,28,19,15,18
21.01,26,19,12,12
22.01,22,27,13,22
23.01,25,28,12,8
24.01,22,26,18,13
25.01,26,19,12,15
26.01,22,22,5,21
27.01,26,29,9,17
28.01,33,22,22,8
29.01,27,31,12,13
30.01,24,29,15,11
31.01,19,21,12,15
01.02,27,25,17,11
02.02,26,26,15,10
03.02,22,21,11,11
04.02,19,35,10,11
05.02,19,18,11,12
06.02,26,31,16,12
07.02,24,19,8,9
08.02,20,22,17,7
09.02,27,25,20,7
10.02,16,19,10,18
11.02,20,20,10,15
12.02,26,23,16,8
13.02,19,12,13,15
14.02,19,24,11,8
15.02,22,26,10,10
16.02,20,17,14,5
17.02,14,18,18,10
18.02,30,24,17,10
19.02,19,20,20,10
20.02,18,19,13,7
21.02,21,15,17,16
22.02,11,15,11,12
23.02,15,20,13,6
24.02,15,20,15,8
25.02,17,21,11,10
26.02,18,18,12,9
27.02,21,17,8,10
28.02,23,11,7,9
01.03,16,16,16,13
02.03,15,20,16,19
03.03,15,18,10,11
04.03,21,18,10,15
05.03,19,16,16,12
06.03,14,21,9,17
07.03,22,18,15,7
08.03,17,21,11,11
09.03,18,20,16,16
10.03,24,18,7,9
11.03,16,12,11,17
12.03,19,24,16,15
13.03,15,12,16,8
14.03,27,19,15,15
15.03,11,21,8,12
16.03,22,18,6,9
17.03,25,17,15,9
18.03,17,21,6,12
19.03,20,17,7,9
20.03,22,14,5,13
21.03,16,14,11,15
22.03,20,14,12,10
23.03,23,10,9,18
24.03,23,16,10,11
25.03,23,13,12,12
26.03,20,16,7,11
27.03,30,19,14,13
28.03,25,18,12,10
29.03,25,17,15,15
30.03,24,17,9,16
31.03,18,16,14,19
01.04,27,19,7,9
02.04,19,17,10,9
03.04,19,21,15,6
04.04,18,15,17,14
05.04,22,16,11,13
06.04,18,16,10,12
07.04,21,12,15,10
08.04,20,20,11,18
09.04,21,28,17,11
10.04,28,13,15,12
11.04,37,12,13,13
12.04,15,19,10,15
13.04,29,14,12,11
14.04,20,20,11,14
15.04,28,22,6,7
16.04,23,18,14,7
17.04,24,18,13,11
18.04,24,19,17,9
19.04,18,12,9,11
20.04,24,19,7,7
21.04,28,22,13,10
22.04,28,16,19,6
23.04,21,22,12,10
24.04,20,7,11,7
25.04,23,16,11,13
26.04,25,17,17,9
27.04,25,14,18,8
28.04,20,31,6,10
29.04,19,19,10,9
30.04,19,17,15,13
01.05,21,14,8,9
02.05,21,19,12,10
03.05,14,15,14,11
04.05,25,23,18,6
05.05,17,15,10,7
06.05,19,15,14,10
07.05,19,24,15,5
08.05,25,21,15,10
09.05,16,15,10,8
10.05,12,14,9,6
11.05,23,14,8,7
12.05,15,16,7,9
13.05,23,20,13,10
14.05,13,20,4,10
15.05,15,17,6,11
16.05,28,18,8,7
17.05,21,24,11,8
18.05,19,17,14,7
19.05,18,21,12,13
20.05,10,17,10,11
21.05,14,25,8,10
22.05,20,10,10,9
23.05,17,16,6,10
24.05,11,20,10,13
25.05,22,24,12,8
26.05,16,19,13,15
27.05,15,15,9,4
28.05,14,21,7,9
29.05,15,20,13,10
30.05,12,18,8,10
31.05,8,13,11,3
01.06,20,27,13,9
02.06,22,19,14,13
03.06,15,17,11,9
04.06,16,17,11,11
05.06,20,16,14,9
06.06,16,20,8,4
07.06,14,16,13,13
08.06,22,29,19,12
09.06,19,16,14,8
10.06,15,13,11,6
11.06,23,28,10,10
12.06,16,23,11,10
13.06,13,15,15,12
14.06,17,25,10,13
15.06,18,14,15,13
16.06,18,18,10,6
17.06,23,13,14,6
18.06,14,21,11,7
19.06,20,18,12,9
20.06,23,15,16,10
21.06,17,19,8,18
22.06,15,21,18,13
23.06,18,15,10,11
24.06,26,14,10,14
25.06,21,15,9,8
26.06,18,15,11,7
27.06,22,16,12,6
28.06,10,8,4,18
29.06,20,15,9,9
30.06,13,21,20,7
01.07,22,17,6,17
02.07,24,20,10,20
03.07,17,23,12,7
04.07,23,22,8,12
05.07,24,21,12,13
06.07,24,14,13,15
07.07,20,14,16,14
08.07,23,19,12,12
09.07,15,21,9,10
10.07,33,15,13,6
11.07,21,19,3,14
12.07,25,12,12,14
13.07,23,17,8,15
14.07,14,16,10,7
15.07,17,16,13,6
16.07,20,18,13,15
17.07,27,12,13,14
18.07,16,13,12,9
19.07,18,10,14,10
20.07,15,18,3,12
21.07,11,10,16,12
22.07,16,15,15,5
23.07,19,20,12,15
24.07,29,19,14,13
25.07,18,23,6,5
26.07,26,14,13,10
27.07,16,18,9,9
28.07,20,16,19,8
29.07,17,14,14,13
30.07,25,19,10,7
31.07,18,25,19,9
01.08,17,18,19,5
02.08,12,12,10,5
03.08,18,19,14,1
04.08,21,18,12,5
05.08,15,10,9,4
06.08,24,22,11,3
07.08,24,20,13,4
08.08,16,15,16,3
09.08,20,17,10,1
10.08,21,23,25,5
11.08,16,12,10,8
12.08,18,19,11,6
13.08,15,17,12,1
14.08,23,23,17,6
15.08,21,14,13,4
16.08,19,19,13,11
17.08,9,21,17,9
18.08,15,15,9,11
19.08,23,12,13,15
20.08,13,24,15,8
21.08,17,17,8,7
22.08,22,27,11,10
23.08,27,20,13,16
24.08,16,14,10,9
25.08,26,13,12,13
26.08,17,14,11,7
27.08,22,20,10,9
28.08,22,17,12,9
29.08,16,12,17,10
30.08,19,29,16,8
31.08,13,15,11,4
01.09,22,21,13,7
02.09,21,23,12,13
03.09,26,21,15,8
04.09,15,20,15,11
05.09,26,23,23,4
06.09,10,18,11,7
07.09,11,17,14,11
08.09,25,15,15,8
09.09,20,16,18,11
10.09,19,19,13,4
11.09,25,17,8,3
12.09,15,23,15,13
13.09,20,18,19,12
14.09,24,15,9,5
15.09,26,16,21,10
16.09,19,18,9,8
17.09,26,17,16,13
18.09,20,19,15,8
19.09,20,11,7,5
20.09,20,16,16,9
21.09,16,14,17,13
22.09,18,25,15,9
23.09,16,24,13,9
24.09,15,17,14,14
